,0
Luiz Galvão,0.0
Pr Sergio Luiz de Oliveira Nascimento,0.0
Pr Jose Ricardo Minelli,0.0
Pr Ademir Guido Junior,0.0
Pr Salatiel Luiz de Araujo,0.0
Nasser Riden T Almotairi,0.0
Pr Junior Moura,0.0
Dr Marcelo Paulo Tissiani,0.0
Pr Ronaldo Araujo de Andrade,0.0
Pr Francisco de Assis Xavier,0.0
Pr Igor Vilcinskas Dalpino Junior,0.0
Pr Rafael Borges de Medeiros,0.0
Pr Benedito Alves de Mesquita Filho,0.0
Tatiana Barbosa de Alvarenga,0.0
Suresh K Reddy,0.0
Pr Marcos Galdino de Lima Junior,0.0
Pr Giancarlo Said Ribeiro,0.0
Doreni Isaías Caramori Junior,0.0
RR Soares,0.0
Pr Levi Capellari dos Santos,0.0
Pr Edson A Rebustini,0.0
Pr Wesley Rebustini,0.0
Emanuel Pinheiro Neto,0.0
Marcos de S Borges,0.0
Dra Soraya Manato,0.0
Carlos Alberto Franco França,0.0
Pr Anselmo de Souza Melo,0.0
Pr Elisson Bruno Albuquerque de Brito,0.0
Pr Francisco Tercio,0.0
Pr Davi Seiberth Arantes,0.0
Pr Clederson Rodrigo Medina,0.0
Santini  do Exercito Brasileiro,0.0
Dr Luiz Antonio Teixeira Jr,0.0
Pr Fernando Favoreto,0.0
Maurício Valeixo,0.0
Todd C Chapman,0.0
Luís Antonio de Araujo Boudens,0.16666666666666666
Lívia Gervasio Braga,0.16666666666666666
Paulo Sergio Pinto,0.16666666666666666
Marcio Grangeiro,0.16666666666666666
Nei Cesar Manica,0.16666666666666666
Estadual Ernani Polo,0.16666666666666666
Lucas Redecker,0.25
Milena Remus Caregnato,0.25
Maiara Perottoni,0.25
Augusto Pestana,0.25
Adiló Didomenico,0.25
Rubens Rizek,0.25
Andre Porciuncula Alay Esteves,0.25
Marina Magro Beringhs Martinez,0.25
Cadete Augusto Regio Knorr,0.25
Milton Leite,0.25
Guilherme Bueno de Camargo,0.25
Cap Luciano Velozo Pedrosa,0.25
Ângela Gandra,0.3333333333333333
Afonso Hamm,0.3333333333333333
Nilo Coelho,0.3333333333333333
Nelson Gomes,0.3333333333333333
Maurício Cunha,0.3333333333333333
Clarissa Tercio,0.3333333333333333
Andre Domingos,0.5
Jeferson Bittencourt,0.5
Tânia Regina Zanella,0.5
Herbet Gonçalves Santos,0.5
Nicolla Miccione,0.5
Marilia Garcez,0.5
João Alberto Cunha Filho,0.5
Henrique Antonio,0.5
Salehri Farshad,0.5
Cristiane Santos,0.5
João Daniel Silva,0.5
Marcelo Couto Dias,0.5
Brenda Woch da Graça Rodrigues,0.5
Bep Torin Kayapó,0.5
Alexandre Viana Schott,0.5
Pastor Flavio Henrique Felix,0.5
Xerê Kayapó,0.5
Marlon Bonilha,0.5
Rafael Vitale,0.5
